INDEX	LAIMAX	RMIN	RSREF	ALBEDO	VEGFRAC	ROUGH	RZD	SOILDGRD	IMPAF
11	0.8540044	0.002011668	7861966	0.1617001	0.0799863	0.037	0	0	0
12	3.416018	0.002023736	12613991	0.1426286	0.0799863	0.045	0	0	0
21	4.997306	0.001886202	8555289	0.2610298	0.741792	0.012	0.19	0.58	0.54
22	4.925537	0.001803889	8422173	0.2506489	0.741792	0.022	0.085	0.58	0.72
23	4.997306	0.001886202	8555289	0.2610298	0.741792	0.012	0.19	0.58	0.54
24	4.925537	0.001803889	8422173	0.2506489	0.741792	0.022	0.085	0.58	0.72
31	0.1175883	0.002061292	12710286	0.2441793	0.0892185	0.036	0.19	0.36	0
41	6.2166	0.002013886	6462902	0.241202	0.792552	0.058	0.58	0.04	0
42	5.0835	0.001874998	8521377	0.239257	0.882552	0.068	0.52	0.04	0
43	7.2126	0.002013886	4951408	0.211052	0.788052	0.052	0.58	0.04	0
51	1.528394	0.001941826	9920107	0.2740451	0.2689095	0.045	0.4	0.04	0
52	3.444959	0.002013886	10669047	0.2534286	0.6350565	0.043	0.4	0.04	0
71	4.3039	0.002002312	11784039	0.2684654	0.660457	0.040	0.26	0.3	0
72	2.8696	0.001921294	9123698	0.282433	0.660457	0.038	0.365	0.3	0
73	4.3039	0.002002312	11784039	0.2684654	0.660457	0.040	0.26	0.3	0
74	2.8696	0.001921294	9123698	0.282433	0.660457	0.038	0.365	0.3	0
81	4.782	0.00179886	8640000	0.2632525	0.8243818	0.040	0.4	0.34	0
82	2.8696	0.001422424	9123698	0.2481395	0.7593188	0.038	0.365	0.54	0
90	2.298238	0.00202546	12573771	0.2094803	0.5625045	0.044	0.24	0	0
95	2.8692	0.001921294	9123800	0.272718	0.652968	0.038	0.36	0.06	0
